text,extracted_text,cleaned_text,normalized_text,tokens_no_stopwords_and_stemmed,tokens_no_stopwords_and_stemmed_formatted,processed,likes,reply_count,created_time_formatted,is_pinned,is_reply,user_verified,comment_language
raizwanwan’s comment: nasionalisme tidak ada hubungannya dengan uang pak mohon maaf nih ye,nasionalisme tidak ada hubungannya dengan uang pak mohon maaf nih ye,nasionalisme tidak ada hubungannya dengan uang pak mohon maaf nih ye,nasionalisme tidak ada hubungannya dengan uang pak mohon maaf nih ye,"['nasionalisme', 'hubung', 'uang', 'mohon', 'maaf', 'ye']","[nasionalisme, hubung, uang, mohon, maaf, ye]",nasionalisme hubung uang mohon maaf ye,5,0,2025-02-12 23:43:39,False,True,False,id
"selamat yang udah pada bisa kabur aja dulu, semoga suatu saat bisa nyusul","selamat yang udah pada bisa kabur aja dulu, semoga suatu saat bisa nyusul",selamat yang udah pada bisa kabur aja dulu semoga suatu saat bisa nyusul,selamat yang sudah pada bisa kabur aja dulu semoga suatu saat bisa nyusul,"['selamat', 'kabur', 'aja', 'moga', 'nyusul']","[selamat, kabur, aja, moga, nyusul]",selamat kabur aja moga nyusul,0,0,2025-02-15 14:04:48,False,True,False,id
inisial H’s comment: itu pertanda di dalam negeri belum bisa menjamin kesejahteraan rakyatnya gak pak,itu pertanda di dalam negeri belum bisa menjamin kesejahteraan rakyatnya gak pak,itu pertanda di dalam negeri belum bisa menjamin kesejahteraan rakyatnya gak pak,itu pertanda di dalam negeri belum bisa menjamin kesejahteraan rakyatnya tidak pak,"['tanda', 'negeri', 'jamin', 'sejahtera', 'rakyat']","[tanda, negeri, jamin, sejahtera, rakyat]",tanda negeri jamin sejahtera rakyat,1,0,2025-02-15 03:38:12,False,True,False,id
dia mah si paling nasionalisme😌,dia mah si paling nasionalisme😌,dia mah si paling nasionalisme,dia mah si paling nasionalisme,['nasionalisme'],[nasionalisme],nasionalisme,0,0,2025-02-24 12:46:46,False,True,False,id
"hana maryam’s comment: lapngn kerj syaratnya segudng, umur d ats 25th sdh d anggap jompo","lapngn kerj syaratnya segudng, umur d ats 25th sdh d anggap jompo",lapngn kerj syaratnya segudng umur d ats 25th sdh d anggap jompo,lapngn kerj syaratnya segudng umur d ats 25th sudah d anggap jompo,"['lapngn', 'kerj', 'syarat', 'segudng', 'umur', 'ats', 'anggap', 'jompo']","[lapngn, kerj, syarat, segudng, umur, ats, anggap, jompo]",lapngn kerj syarat segudng umur ats anggap jompo,0,0,2025-02-16 08:29:20,False,True,False,id
Famia’s comment: semoga selalu dalam lindungan Allah dan sukses..💪,semoga selalu dalam lindungan Allah dan sukses..💪,semoga selalu dalam lindungan allah dan sukses,semoga selalu dalam lindungan allah dan sukses,"['moga', 'lindung', 'allah', 'sukses']","[moga, lindung, allah, sukses]",moga lindung allah sukses,0,0,2025-02-15 21:05:08,False,True,False,id
"jangankan #KaburAjaDulu
orang kabur dari masalalu aja susah amat🙂","jangankan #KaburAjaDulu
orang kabur dari masalalu aja susah amat🙂",jangankan orang kabur dari masalalu aja susah amat,jangankan orang kabur dari masalalu aja susah amat,"['orang', 'kabur', 'masalalu', 'aja', 'susah']","[orang, kabur, masalalu, aja, susah]",orang kabur masalalu aja susah,19,1,2025-02-14 12:40:53,False,True,False,id
SSAN’s comment: kak ikutt,kak ikutt,kak ikutt,kak ikutt,"['kak', 'ikutt']","[kak, ikutt]",kak ikutt,0,0,2025-02-19 06:08:48,False,True,False,id
Hafhiz Travel 🚀’s comment: lah kalian para pejabat mana jiwa nasionalisme nya kok tunjangan banyak masih korupsi,lah kalian para pejabat mana jiwa nasionalisme nya kok tunjangan banyak masih korupsi,lah kalian para pejabat mana jiwa nasionalisme nya kok tunjangan banyak masih korupsi,lah kalian para pejabat mana jiwa nasionalisme nya kok tunjangan banyak masih korupsi,"['jabat', 'jiwa', 'nasionalisme', 'tunjang', 'korupsi']","[jabat, jiwa, nasionalisme, tunjang, korupsi]",jabat jiwa nasionalisme tunjang korupsi,0,0,2025-02-23 02:26:50,False,True,False,id
ムハンマド・ファイサル 254’s comment: #kaburajadulu 🔥,#kaburajadulu 🔥,,,[],[],,0,0,2025-02-16 11:20:30,False,True,False,id
"kayak pada muak dengan indonesia saat ini
kayak udah darurat indonesia saat ini kepercayaan rakyat mulai hilang","kayak pada muak dengan indonesia saat ini
kayak udah darurat indonesia saat ini kepercayaan rakyat mulai hilang",kayak pada muak dengan indonesia saat ini kayak udah darurat indonesia saat ini kepercayaan rakyat mulai hilang,kayak pada muak dengan indonesia saat ini kayak sudah darurat indonesia saat ini kepercayaan rakyat mulai hilang,"['kayak', 'muak', 'indonesia', 'kayak', 'darurat', 'indonesia', 'percaya', 'rakyat', 'hilang']","[kayak, muak, indonesia, kayak, darurat, indonesia, percaya, rakyat, hilang]",kayak muak indonesia kayak darurat indonesia percaya rakyat hilang,0,0,2025-03-08 09:36:27,False,True,False,id
Booo👻’s comment: lah aku mah gas aja sayangnya ga ada modal,lah aku mah gas aja sayangnya ga ada modal,lah aku mah gas aja sayangnya ga ada modal,lah saya mah gas aja sayangnya tidak ada modal,"['gas', 'aja', 'sayang', 'modal']","[gas, aja, sayang, modal]",gas aja sayang modal,0,0,2025-02-19 21:32:50,False,True,False,id
"ALI Ai’s comment: boleh kabur, tapi jangan sampai buat soud horeng di luar negri apalagi di jepang😆","boleh kabur, tapi jangan sampai buat soud horeng di luar negri apalagi di jepang😆",boleh kabur tapi jangan sampai buat soud horeng di luar negri apalagi di jepang,boleh kabur tapi jangan sampai buat soud horeng di luar negri apalagi di jepang,"['kabur', 'soud', 'horeng', 'negri', 'jepang']","[kabur, soud, horeng, negri, jepang]",kabur soud horeng negri jepang,0,0,2025-02-17 06:20:38,False,True,False,id
Purrarie_dolls’s comment: Kak ajak-ajak kak😭,Kak ajak-ajak kak😭,kak ajakajak kak,kak ajakajak kak,"['kak', 'ajakajak', 'kak']","[kak, ajakajak, kak]",kak ajakajak kak,0,0,2025-02-19 09:31:23,False,True,False,id
coklatkacangsusu’s comment: @Rakyat Nagoya gawe rik,@Rakyat Nagoya gawe rik,nagoya gawe rik,nagoya gawe rik,"['nagoya', 'gawe', 'rik']","[nagoya, gawe, rik]",nagoya gawe rik,0,2,2025-02-14 13:12:46,False,True,False,id
andi’s comment: Bro🤣🤣🤣,Bro🤣🤣🤣,bro,bro,['bro'],[bro],bro,0,0,2025-02-19 02:20:40,False,True,False,en
"neg indo melalui pemerintah nya kgk bs memberikan jaminan kehidupan yang lebih baik.
sadarlah para menteri ku yg bbrp wkt lalu bicara nasionalisme.
lapar TDK bs kenyang hny Krn nasionalisme.n saya tny koruptor yg bnyk pejabat itu Pny nasionalisme ato kgk. ingat .
Ingak beras, tempe, tahu, listrik, PAM pendidikan dibyr pake uang hsl krj.trz BKN dibyr pake nasionalisme doank
BPK yg ngomong itu enak dah terima gaji n tunjangan nya sdh selangit","neg indo melalui pemerintah nya kgk bs memberikan jaminan kehidupan yang lebih baik.
sadarlah para menteri ku yg bbrp wkt lalu bicara nasionalisme.
lapar TDK bs kenyang hny Krn nasionalisme.n saya tny koruptor yg bnyk pejabat itu Pny nasionalisme ato kgk. ingat .
Ingak beras, tempe, tahu, listrik, PAM pendidikan dibyr pake uang hsl krj.trz BKN dibyr pake nasionalisme doank
BPK yg ngomong itu enak dah terima gaji n tunjangan nya sdh selangit",neg indo melalui pemerintah nya kgk bs memberikan jaminan kehidupan yang lebih baik sadarlah para menteri ku yg bbrp wkt lalu bicara nasionalisme lapar tdk bs kenyang hny krn nasionalismen saya tny koruptor yg bnyk pejabat itu pny nasionalisme ato kgk ingat ingak beras tempe tahu listrik pam pendidikan dibyr pake uang hsl krjtrz bkn dibyr pake nasionalisme doank bpk yg ngomong itu enak dah terima gaji n tunjangan nya sdh selangit,neg indonesia melalui pemerintah nya kgk bisa memberikan jaminan kehidupan yang lebih baik sadarlah para menteri saya yang bbrp wkt lalu bicara nasionalisme lapar tidak bisa kenyang hny karena nasionalismen saya tny koruptor yang bnyk pejabat itu pny nasionalisme ato kgk ingat ingak beras tempe tahu listrik pam pendidikan dibyr pake uang hsl krjtrz bkn dibyr pake nasionalisme doank bpk yang ngomong itu enak dah terima gaji n tunjangan nya sudah selangit,"['neg', 'indonesia', 'perintah', 'kgk', 'jamin', 'hidup', 'sadar', 'menteri', 'bbrp', 'wkt', 'bicara', 'nasionalisme', 'lapar', 'kenyang', 'hny', 'nasionalismen', 'tny', 'koruptor', 'bnyk', 'jabat', 'pny', 'nasionalisme', 'ato', 'kgk', 'ingak', 'beras', 'tempe', 'listrik', 'pam', 'didik', 'dibyr', 'pake', 'uang', 'hsl', 'krjtrz', 'bkn', 'dibyr', 'pake', 'nasionalisme', 'doank', 'bpk', 'ngomong', 'enak', 'dah', 'terima', 'gaji', 'tunjang', 'langit']","[neg, indonesia, perintah, kgk, jamin, hidup, sadar, menteri, bbrp, wkt, bicara, nasionalisme, lapar, kenyang, hny, nasionalismen, tny, koruptor, bnyk, jabat, pny, nasionalisme, ato, kgk, ingak, beras, tempe, listrik, pam, didik, dibyr, pake, uang, hsl, krjtrz, bkn, dibyr, pake, nasionalisme, doank, bpk, ngomong, enak, dah, terima, gaji, tunjang, langit]",neg indonesia perintah kgk jamin hidup sadar menteri bbrp wkt bicara nasionalisme lapar kenyang hny nasionalismen tny koruptor bnyk jabat pny nasionalisme ato kgk ingak beras tempe listrik pam didik dibyr pake uang hsl krjtrz bkn dibyr pake nasionalisme doank bpk ngomong enak dah terima gaji tunjang langit,0,0,2025-02-16 13:28:50,False,True,False,id
dhipzy_m’s comment: Bubar aja dulu❤️,Bubar aja dulu❤️,bubar aja dulu,bubar aja dulu,"['bubar', 'aja']","[bubar, aja]",bubar aja,1,0,2025-02-12 22:00:40,False,True,False,id
PENTINGNYA MILIH PEMIMPIN PRO RAKYAT,PENTINGNYA MILIH PEMIMPIN PRO RAKYAT,pentingnya milih pemimpin pro rakyat,pentingnya milih pemimpin pro rakyat,"['milih', 'pimpin', 'pro', 'rakyat']","[milih, pimpin, pro, rakyat]",milih pimpin pro rakyat,5,0,2025-02-12 08:55:03,False,True,False,id
KEEP ON WALKING’s comment: bukannya intropeksi 😏,bukannya intropeksi 😏,bukannya intropeksi,bukannya intropeksi,['intropeksi'],[intropeksi],intropeksi,0,0,2025-02-18 19:32:29,False,True,False,id
