title,token,no_stopwords,processed,emoji,mention,hashtag,jumlah_emoji,jumlah_mention,jumlah_hashtag
@Supercuan88#🧡💛 Fun Game💙💚,"[fun, game]","[fun, game]",fun game,🧡💛💙💚,@supercuan88,,4,1,0
@Supercuan88#🧡💛 Perfect Game💙💚,"[perfect, game]","[perfect, game]",perfect game,🧡💛💙💚,@supercuan88,,4,1,0
@Supercuan88#🧡💛Game favorite💙💚,[favorite],[favorite],favorite,🧡💛💙💚,@supercuan88,,4,1,0
@Supercuan88#🧡💛 Happy Fun Game💙💚,"[happy, fun, game]","[happy, fun, game]",happy fun game,🧡💛💙💚,@supercuan88,,4,1,0
@Supercuan88#🧡💛 Ending Game💙💚,"[ending, game]","[ending, game]",ending game,🧡💛💙💚,@supercuan88,,4,1,0
@Supercuan88#🧡💛 Happy Gamers💙💚,"[happy, gamers]","[happy, gamers]",happy gamers,🧡💛💙💚,@supercuan88,,4,1,0
pasti pada muak bngt tinggal di Indonesian 😭😭,"[pasti, pada, muak, bngt, tinggal, di, indonesian]","[pada, muak, bngt, tinggal, indonesian]",pada muak bngt tinggal indonesian,😭😭,,,2,0,0
"syarat di indo : harus berpenampilan menarik.
dari situ aja aku udah kalah 😔😔😔","[syarat, di, indo, harus, berpenampilan, menarik, dari, situ, aja, aku, udah, kalah]","[syarat, indo, berpenampilan, menarik, situ, aku, kalah]",syarat indo tampil tarik situ aku kalah,😔😔😔,,,3,0,0
bukan ga nasionalis tapi realistis,"[bukan, ga, nasionalis, tapi, realistis]","[bukan, nasionalis, realistis]",bukan nasionalis realistis,,,,0,0,0
"di jepang mudah cari kerja di indonesia harus bisa jdi avatar dulu baru kerja
#kaburajadulu","[di, jepang, mudah, cari, kerja, di, indonesia, harus, bisa, jdi, avatar, dulu, baru, kerja]","[jepang, mudah, cari, kerja, indonesia, bisa, jdi, avatar, dulu, baru, kerja]",jepang mudah cari kerja indonesia bisa jdi avatar dulu baru kerja,,,#kaburajadulu,0,0,1
ingat GUYS. belum terlambat kalo mau mulai dari sekarang 🙏,"[ingat, guys, belum, terlambat, kalo, mau, mulai, dari, sekarang]","[ingat, guys, terlambat, kalo, mau, mulai, sekarang]",ingat guys lambat kalo mau mulai sekarang,🙏,,,1,0,0
#kaburajadulu bismillah ke Jepang 🇯🇵 do'ain ya guys 2 bulan lagi,"[bismillah, ke, jepang, do, ain, ya, guys, bulan, lagi]","[bismillah, jepang, do, ain, guys, bulan]",bismillah jepang do ain guys bulan,,,#kaburajadulu,0,0,1
gaji cuma 2 juta persyaratan setebal kitab kuning 😂,"[gaji, cuma, juta, persyaratan, setebal, kitab, kuning]","[gaji, cuma, juta, persyaratan, setebal, kitab, kuning]",gaji cuma juta syarat setebal kitab kuning,😂,,,1,0,0
"indonesia bukan lagi ibu pertiwi, rasanya lebih keibu tiri","[indonesia, bukan, lagi, ibu, pertiwi, rasanya, lebih, keibu, tiri]","[indonesia, bukan, ibu, pertiwi, rasanya, lebih, keibu, tiri]",indonesia bukan ibu pertiwi rasa lebih ibu tiri,,,,0,0,0
saya juga meragukan Indonesia,"[saya, juga, meragukan, indonesia]","[juga, meragukan, indonesia]",juga ragu indonesia,,,,0,0,0
#kaburajadulu ke kamboja🗿,"[ke, kamboja]",[kamboja],kamboja,🗿,,#kaburajadulu,1,0,1
"""Terlahir disini tanpa diminta,menjalaninya hampir gila,siapa sangka burung segagah garuda memiliki parasit mematikan didalam tubuhnya""","[terlahir, disini, tanpa, diminta, menjalaninya, hampir, gila, siapa, sangka, burung, segagah, garuda, memiliki, parasit, mematikan, didalam, tubuhnya]","[terlahir, disini, diminta, menjalaninya, hampir, gila, siapa, sangka, burung, segagah, garuda, memiliki, parasit, mematikan, didalam, tubuhnya]",lahir sini minta jalan hampir gila siapa sangka burung gagah garuda milik parasit mati dalam tubuh,,,,0,0,0
"2020#dirumahaja
2025#kaburajadulu",[],[],,,,"#dirumahaja, #kaburajadulu",0,0,2
