"text","extracted_text","cleaned_text","normalized_text","processed","sentiment_label","likes","reply_count","created_time_formatted"
"Kiuwkiuw’s comment: info dong kerja di jepang. siap terbang","info dong kerja di jepang. siap terbang","info dong kerja di jepang siap terbang","info dong kerja di jepang siap terbang","info kerja jepang terbang","positif","0","0","2025-02-17 07:37:09"
"dih’s comment: kayanya semakin dewasa gw pun akan punya pikiran untuk pindah, dan kalo gw beneran sampe pindah, gw bakal sangat merindukan Bandung","kayanya semakin dewasa gw pun akan punya pikiran untuk pindah, dan kalo gw beneran sampe pindah, gw bakal sangat merindukan Bandung","kayanya semakin dewasa gw pun akan punya pikiran untuk pindah dan kalo gw beneran sampe pindah gw bakal sangat merindukan bandung","kayanya semakin dewasa saya pun akan punya pikiran untuk pindah dan kalau saya beneran sampe pindah saya bakal sangat merindukan bandung","kaya dewasa pikir pindah beneran sampe pindah rindu bandung","positif","1","1","2025-02-13 01:26:18"
"Semua juga kalau punya kesempatan pasti milih kabur. ya gimana diluar cari kerja gampang, gaji tinggi, biaya hidup terjangkau, pajak yg dibayar bisa dirasakan. dan msh bnyk +++++ lagi kalau diluar","Semua juga kalau punya kesempatan pasti milih kabur. ya gimana diluar cari kerja gampang, gaji tinggi, biaya hidup terjangkau, pajak yg dibayar bisa dirasakan. dan msh bnyk +++++ lagi kalau diluar","semua juga kalau punya kesempatan pasti milih kabur ya gimana diluar cari kerja gampang gaji tinggi biaya hidup terjangkau pajak yg dibayar bisa dirasakan dan msh bnyk lagi kalau diluar","semua juga kalau punya kesempatan pasti milih kabur ya bagaimana diluar cari kerja gampang gaji tinggi biaya hidup terjangkau pajak yang dibayar bisa dirasakan dan msh bnyk lagi kalau diluar","sempat milih kabur luar cari kerja gampang gaji biaya hidup jangkau pajak bayar rasa msh bnyk luar","positif","3","1","2025-02-12 07:30:51"
"R’s comment: apakah korupsi itu wujud dari nasionalisme??😆😆🤣🤣🤣","apakah korupsi itu wujud dari nasionalisme??😆😆🤣🤣🤣","apakah korupsi itu wujud dari nasionalisme","apakah korupsi itu wujud dari nasionalisme","korupsi wujud nasionalisme","negatif","0","0","2025-02-19 08:05:12"
"uang"" kita kok 🤣🤣","uang"" kita kok 🤣🤣","uang kita kok","uang kita kok","uang","netral","0","0","2025-02-16 05:08:46"
"ZAKI PCR ALYA’s comment: gw sih ke thailand mx king gw auto guanteng","gw sih ke thailand mx king gw auto guanteng","gw sih ke thailand mx king gw auto guanteng","saya sih ke thailand mx king saya auto guanteng","thailand mx king auto guanteng","positif","0","0","2025-02-21 07:00:44"
"neoardilan’s comment: lagi ngumpulin duit buat ke WFH ke Australia","lagi ngumpulin duit buat ke WFH ke Australia","lagi ngumpulin duit buat ke wfh ke australia","lagi ngumpulin duit buat ke wfh ke australia","ngumpulin duit wfh australia","positif","0","0","2025-02-16 12:42:38"
"Aprilia’s comment: yuk ganti tagar #RakyatMeragukanKinerjaPemerintah
terutama DPR","yuk ganti tagar #RakyatMeragukanKinerjaPemerintah
terutama DPR","yuk ganti tagar terutama dpr","yuk ganti tagar terutama dpr","ganti tagar dpr","negatif","0","0","2025-02-17 11:56:33"
"noer rochman252’s comment: semoga hama hama pindah semua","semoga hama hama pindah semua","semoga hama hama pindah semua","semoga hama hama pindah semua","moga hama hama pindah","negatif","1","0","2025-02-14 22:21:27"
"Ansel’s comment: gak bisa keluar negeri,so'alnya tanah saya banyak di indo🤣","gak bisa keluar negeri,so'alnya tanah saya banyak di indo🤣","gak bisa keluar negerisoalnya tanah saya banyak di indo","tidak bisa keluar negerisoalnya tanah saya banyak di indonesia","negerisoalnya tanah indonesia","negatif","2","0","2025-02-13 15:36:30"
"icha🌷’s comment: ternyata indo itu hanya nyaman untuk pejabat
bukan untuk rakyat
#kaburajadulu 🤙🏻🤙🏻","ternyata indo itu hanya nyaman untuk pejabat
bukan untuk rakyat
#kaburajadulu 🤙🏻🤙🏻","ternyata indo itu hanya nyaman untuk pejabat bukan untuk rakyat","ternyata indonesia itu hanya nyaman untuk pejabat bukan untuk rakyat","indonesia nyaman jabat rakyat","negatif","0","0","2025-02-16 01:33:21"
"ytttxc’s comment: padahal di bkk bkk gitu banyak bgt tau loker di daerah mana pun, apa pengangguran nya yg malas buat bergerak?","padahal di bkk bkk gitu banyak bgt tau loker di daerah mana pun, apa pengangguran nya yg malas buat bergerak?","padahal di bkk bkk gitu banyak bgt tau loker di daerah mana pun apa pengangguran nya yg malas buat bergerak","padahal di bkk bkk begitu banyak banget tau loker di daerah mana pun apa pengangguran nya yang malas buat bergerak","bkk bkk banget tau loker daerah anggur malas gerak","netral","0","0","2025-02-15 00:28:32"
"Pieck Finger.’s comment: mau bgt kabur ke jepang😭","mau bgt kabur ke jepang😭","mau bgt kabur ke jepang","mau banget kabur ke jepang","banget kabur jepang","positif","0","0","2025-02-19 05:21:39"
"masynur’s comment: mayan pahlawan visa jadi rame","mayan pahlawan visa jadi rame","mayan pahlawan visa jadi rame","mayan pahlawan visa jadi rame","mayan pahlawan visa rame","positif","0","0","2025-02-14 13:19:51"
"tina05’s comment: kalau di negeri sendiri jadinya melarat, susah cari kerja, kenapa gak ke luar negeri aja di gaji besar, kerja asal ada skil bisa ngumpulin duit untuk biayain hidup","kalau di negeri sendiri jadinya melarat, susah cari kerja, kenapa gak ke luar negeri aja di gaji besar, kerja asal ada skil bisa ngumpulin duit untuk biayain hidup","kalau di negeri sendiri jadinya melarat susah cari kerja kenapa gak ke luar negeri aja di gaji besar kerja asal ada skil bisa ngumpulin duit untuk biayain hidup","kalau di negeri sendiri jadinya melarat susah cari kerja kenapa tidak ke luar negeri aja di gaji besar kerja asal ada skil bisa ngumpulin duit untuk biayain hidup","negeri melarat susah cari kerja negeri aja gaji kerja skil ngumpulin duit biayain hidup","positif","1","0","2025-02-19 12:28:22"
"SEMBILANBELAS’s comment: kita bebas memilih.","kita bebas memilih.","kita bebas memilih","kita bebas memilih","bebas pilih","netral","1","0","2025-02-16 05:44:26"
"Kinan🍓’s comment: @Afid Ag","@Afid Ag","ag","ag","ag","netral","0","0","2025-02-18 22:51:28"
"nurevitasukriya’s comment: stay Indonesia masih nganggur nii kak","stay Indonesia masih nganggur nii kak","stay indonesia masih nganggur nii kak","stay indonesia masih nganggur nii kak","stay indonesia nganggur nii kak","negatif","0","0","2025-02-19 02:04:45"
"pindah bkn brrti jd warga tetap y man teman, tp dikarenakan cari loker sulit di negeri sndri jd mw g mw jd pmi, ngomongin soal nasionalisme ,kmi yg bkrj di LN adlh phlwan devisa pnymbang trbsr no 2🫡","pindah bkn brrti jd warga tetap y man teman, tp dikarenakan cari loker sulit di negeri sndri jd mw g mw jd pmi, ngomongin soal nasionalisme ,kmi yg bkrj di LN adlh phlwan devisa pnymbang trbsr no 2🫡","pindah bkn brrti jd warga tetap y man teman tp dikarenakan cari loker sulit di negeri sndri jd mw g mw jd pmi ngomongin soal nasionalisme kmi yg bkrj di ln adlh phlwan devisa pnymbang trbsr no 2","pindah bkn brrti jadi warga tetap y man teman tp dikarenakan cari loker sulit di negeri sndri jadi mw tidak mw jadi pmi ngomongin soal nasionalisme kmi yang bkrj di ln adlh phlwan devisa pnymbang trbsr no 2","pindah bkn brrti warga man teman tp cari loker sulit negeri sndri mw mw pmi ngomongin nasionalisme kmi bkrj ln adlh phlwan devisa pnymbang trbsr no","positif","3","2","2025-02-12 06:20:06"
"kerja keras gajih 1,5🗿","kerja keras gajih 1,5🗿","kerja keras gajih 15","kerja keras gajih 15","kerja keras gajih","negatif","8","0","2025-02-15 14:22:57"
"user4686138002024’s comment: Dark sistem Indonesia saat ini bahlul😂","Dark sistem Indonesia saat ini bahlul😂","dark sistem indonesia saat ini bahlul","dark sistem indonesia saat ini bahlul","dark sistem indonesia bahlul","negatif","0","0","2025-02-18 04:01:13"
"suri hartini1998🎌’s comment: Gas geret koper ges 🤭🤭😂","Gas geret koper ges 🤭🤭😂","gas geret koper ges","gas geret koper ges","gas geret koper ges","positif","0","0","2025-02-17 07:32:47"
"Abdul Wafi’s comment: kalau saya sih memang dari kecil suka mandiri tapi kalau pindahan itu nggak karena saya kerja di luar negeri ini biar punya pengalaman sedikit kalau saya mau pindah ke dkn nusantara karena tempat spes","kalau saya sih memang dari kecil suka mandiri tapi kalau pindahan itu nggak karena saya kerja di luar negeri ini biar punya pengalaman sedikit kalau saya mau pindah ke dkn nusantara karena tempat spes","kalau saya sih memang dari kecil suka mandiri tapi kalau pindahan itu nggak karena saya kerja di luar negeri ini biar punya pengalaman sedikit kalau saya mau pindah ke dkn nusantara karena tempat spes","kalau saya sih memang dari kecil suka mandiri tapi kalau pindahan itu tidak karena saya kerja di luar negeri ini biar punya pengalaman sedikit kalau saya mau pindah ke dkn nusantara karena tempat spes","suka mandiri pindah kerja negeri biar alam pindah dkn nusantara spes","netral","0","0","2025-02-16 16:34:39"
