"text","extracted_text","cleaned_text","normalized_text","processed","sentiment_label","likes","reply_count","created_time_formatted"
"😂😂😂😂ya lucu banget","😂😂😂😂ya lucu banget","ya lucu banget","ya lucu banget","lucu banget","netral","0","0","2025-02-16 02:07:08"
"Noviiiɞ’s comment: ""g ush di ragukn,ini mlh raguu amaa nasionalisme di negara sendiri 😹""","""g ush di ragukn,ini mlh raguu amaa nasionalisme di negara sendiri 😹""","g ush di raguknini mlh raguu amaa nasionalisme di negara sendiri","tidak ush di raguknini mlh raguu amaa nasionalisme di negara sendiri","ush raguknini mlh raguu amaa nasionalisme negara","netral","0","0","2025-02-18 08:29:04"
"dino 🦖🦕’s comment: gw gk tamat SD gimana mau keluar negeri 🥲🥲🥲","gw gk tamat SD gimana mau keluar negeri 🥲🥲🥲","gw gk tamat sd gimana mau keluar negeri","saya tidak tamat sd bagaimana mau keluar negeri","tamat sd negeri","positif","0","0","2025-02-11 13:52:03"
"gw mau ikutan trend nya woi 😭 tapi kondisi belum mendukung doakan aku segera menyusul. #kaburajadulu","gw mau ikutan trend nya woi 😭 tapi kondisi belum mendukung doakan aku segera menyusul. #kaburajadulu","gw mau ikutan trend nya woi tapi kondisi belum mendukung doakan aku segera menyusul","saya mau ikutan trend nya woi tapi kondisi belum mendukung doakan saya segera menyusul","ikut trend woi kondisi dukung doa susul","positif","3","0","2025-02-12 17:04:21"
"bismillah habis lebaran #kaburajadulu","bismillah habis lebaran #kaburajadulu","bismillah habis lebaran","bismillah habis lebaran","bismillah habis lebaran","positif","0","0","2025-02-14 12:25:43"
"Nimah’s comment: Interospeksi dulu bung.. jng asal ngomong","Interospeksi dulu bung.. jng asal ngomong","interospeksi dulu bung jng asal ngomong","interospeksi dulu bung jng asal ngomong","interospeksi jng ngomong","netral","0","0","2025-02-16 23:45:54"
"jejeocta14’s comment: gue karena udh agak tuwir aja..kalo masih 20 an..gue gass kelyar negeri...","gue karena udh agak tuwir aja..kalo masih 20 an..gue gass kelyar negeri...","gue karena udh agak tuwir ajakalo masih 20 angue gass kelyar negeri","gue karena sudah agak tuwir ajakalo masih 20 angue gass kelyar negeri","gue tuwir ajakalo angue gass kelyar negeri","positif","1","0","2025-02-12 04:47:03"
"vea’s comment: bismillahirrahmanirrahim aku nanti juga","bismillahirrahmanirrahim aku nanti juga","bismillahirrahmanirrahim aku nanti juga","bismillahirrahmanirrahim saya nanti juga","bismillahirrahmanirrahim","netral","0","0","2025-02-11 14:24:56"
"malestiktokan’s comment: cerdaskan diri kalaian lalu berangkatlah keluar negeri","cerdaskan diri kalaian lalu berangkatlah keluar negeri","cerdaskan diri kalaian lalu berangkatlah keluar negeri","cerdaskan diri kalaian lalu berangkatlah keluar negeri","cerdas kalai berangkat negeri","positif","0","0","2025-02-17 07:22:26"
"aku sayang sama negara indonesia, tapi gasuka sama sistem pemerintahannya","aku sayang sama negara indonesia, tapi gasuka sama sistem pemerintahannya","aku sayang sama negara indonesia tapi gasuka sama sistem pemerintahannya","saya sayang sama negara indonesia tapi gasuka sama sistem pemerintahannya","sayang negara indonesia gasuka sistem perintah","negatif","0","0","2025-02-23 13:24:14"
"Yr.amny’s comment: Baru aja liar fyp msalah warga negara indoneesia mau pindah kewarganegaraan nya eh malah as scroll fyp kabur aja dulu","Baru aja liar fyp msalah warga negara indoneesia mau pindah kewarganegaraan nya eh malah as scroll fyp kabur aja dulu","baru aja liar fyp msalah warga negara indoneesia mau pindah kewarganegaraan nya eh malah as scroll fyp kabur aja dulu","baru aja liar fyp msalah warga negara indoneesia mau pindah kewarganegaraan nya eh malah as scroll fyp kabur aja dulu","aja liar msalah warga negara indoneesia pindah kewarganegaraan as scroll kabur aja","positif","0","0","2025-02-18 08:17:22"
"AYAM PANGGANG KAMPUNG INGGRIS’s comment: padahal harusnya orang2 yg manfaatin negara itu yg pergi aja g siii???","padahal harusnya orang2 yg manfaatin negara itu yg pergi aja g siii???","padahal harusnya orang2 yg manfaatin negara itu yg pergi aja g siii","padahal harusnya orang2 yang manfaatin negara itu yang pergi aja tidak si","manfaatin negara pergi aja","negatif","0","0","2025-02-16 14:51:58"
"arulll’s comment: kabur tinggal kabur","kabur tinggal kabur","kabur tinggal kabur","kabur tinggal kabur","kabur tinggal kabur","positif","0","0","2025-02-13 08:16:19"
"Pria anti sumpit’s comment: run masyarakat run😂😂😂","run masyarakat run😂😂😂","run masyarakat run","run masyarakat run","run masyarakat run","netral","1","0","2025-02-13 23:50:03"
"Kalbar•Ganz’s comment: tutor pindah negara","tutor pindah negara","tutor pindah negara","tutor pindah negara","tutor pindah negara","netral","0","0","2025-02-18 07:58:37"
"gen z di lawan ya ng🗿🗿","gen z di lawan ya ng🗿🗿","gen z di lawan ya ng","gen z di lawan ya ng","gen lawan ng","negatif","2","0","2025-02-14 14:51:46"
"Rakyat sekarang banyak yang pintar” pak😂","Rakyat sekarang banyak yang pintar” pak😂","rakyat sekarang banyak yang pintar pak","rakyat sekarang banyak yang pintar pak","rakyat pintar","netral","0","0","2025-02-19 08:14:58"
"Arif Bogem’s comment: gwe cepet fasih bhs. jepang gwe mah mending ke sono😎","gwe cepet fasih bhs. jepang gwe mah mending ke sono😎","gwe cepet fasih bhs jepang gwe mah mending ke sono","saya cepet fasih bhs jepang saya mah mending ke sono","cepet fasih bhs jepang mending sono","positif","0","0","2025-02-16 16:20:29"
"Juan secilia’s comment: dan aku rasakan kenapa ngga dari dulu berkarir di luar negeri..","dan aku rasakan kenapa ngga dari dulu berkarir di luar negeri..","dan aku rasakan kenapa ngga dari dulu berkarir di luar negeri","dan saya rasakan kenapa tidak dari dulu berkarir di luar negeri","rasa berkarir negeri","positif","0","0","2025-02-15 09:07:11"
"Ian Balehong’s comment: bahlil katak dalam tempurung dia ga bisa berpikir utk maju","bahlil katak dalam tempurung dia ga bisa berpikir utk maju","bahlil katak dalam tempurung dia ga bisa berpikir utk maju","bahlil katak dalam tempurung dia tidak bisa berpikir untuk maju","bahlil katak tempurung pikir maju","negatif","0","0","2025-02-16 05:01:53"
"Arini Libra cute’s comment: jangan pernah meragukan nasionalisme kami pak seharusnya bapak bisa berpikir apakah negara pernah memikirkan rakyatnya?","jangan pernah meragukan nasionalisme kami pak seharusnya bapak bisa berpikir apakah negara pernah memikirkan rakyatnya?","jangan pernah meragukan nasionalisme kami pak seharusnya bapak bisa berpikir apakah negara pernah memikirkan rakyatnya","jangan pernah meragukan nasionalisme kami pak seharusnya bapak bisa berpikir apakah negara pernah memikirkan rakyatnya","ragu nasionalisme pikir negara pikir rakyat","negatif","0","0","2025-02-16 07:36:44"
"Vaiii ?’s comment: Di Bekasi Panas Bang Mataharinya Deket Bangat, Susah Juga Dimari.","Di Bekasi Panas Bang Mataharinya Deket Bangat, Susah Juga Dimari.","di bekasi panas bang mataharinya deket bangat susah juga dimari","di bekasi panas bang mataharinya deket bangat susah juga dimari","bekas panas bang matahari deket bangat susah mari","netral","0","0","2025-02-19 15:47:43"
"aku tim ke norway🗿","aku tim ke norway🗿","aku tim ke norway","saya tim ke norway","tim norway","netral","0","0","2025-02-14 13:28:01"
"umur 30thn susah dpet kerja karna udah di anggap jompo pak disni","umur 30thn susah dpet kerja karna udah di anggap jompo pak disni","umur 30thn susah dpet kerja karna udah di anggap jompo pak disni","umur 30thn susah dpet kerja karena sudah di anggap jompo pak disni","umur susah dpet kerja anggap jompo disni","negatif","2","0","2025-02-12 03:56:42"
"ririiii’s comment: dulu: #dirumahaja
sekarang: kaburajadulu
😹😹","dulu: #dirumahaja
sekarang: kaburajadulu
😹😹","dulu sekarang kaburajadulu","dulu sekarang kaburajadulu","kaburajadulu","positif","0","0","2025-02-20 04:18:16"
"Nadia Ranika’s comment: Saya juga kalau ada kesempatan pindah ke LN bakal pindah sekeluarga🤭","Saya juga kalau ada kesempatan pindah ke LN bakal pindah sekeluarga🤭","saya juga kalau ada kesempatan pindah ke ln bakal pindah sekeluarga","saya juga kalau ada kesempatan pindah ke ln bakal pindah sekeluarga","sempat pindah ln pindah keluarga","positif","0","0","2025-02-16 16:08:30"
"Alanzio Sadega’s comment: proses ke dubai #KABURAJADULU","proses ke dubai #KABURAJADULU","proses ke dubai","proses ke dubai","proses dubai","positif","0","0","2025-02-14 20:26:27"
"Heri Irawan’s comment: saya lebih Memilih Pindah mbak. alasan Pertama Kreativitas Kita di Indonesia sangat di batasi bkannya makin Bersinar malah makin redup Inovasi pada di tolak. bahkan orng² berbakat Di Indonesia Aja di tolak ehh malah sukses di luar sana Ya gimana ya Aju Banding aja lah","saya lebih Memilih Pindah mbak. alasan Pertama Kreativitas Kita di Indonesia sangat di batasi bkannya makin Bersinar malah makin redup Inovasi pada di tolak. bahkan orng² berbakat Di Indonesia Aja di tolak ehh malah sukses di luar sana Ya gimana ya Aju Banding aja lah","saya lebih memilih pindah mbak alasan pertama kreativitas kita di indonesia sangat di batasi bkannya makin bersinar malah makin redup inovasi pada di tolak bahkan orng² berbakat di indonesia aja di tolak ehh malah sukses di luar sana ya gimana ya aju banding aja lah","saya lebih memilih pindah mbak alasan pertama kreativitas kita di indonesia sangat di batasi bkannya makin bersinar malah makin redup inovasi pada di tolak bahkan orng² berbakat di indonesia aja di tolak ehh malah sukses di luar sana ya bagaimana ya aju banding aja lah","pilih pindah mbak alas kreativitas indonesia batas bkannya sinar redup inovasi tolak bakat indonesia aja tolak ehh sukses aju banding aja","positif","0","0","2025-02-14 17:27:08"
"KAK MINUT<³🍭’s comment: klo di luar negeri hidup lebih baik knpa enggak....di ragukan nasionalisme nya jga bodoamat. toh dia juga gk menghidupkan kita 😂😂😂","klo di luar negeri hidup lebih baik knpa enggak....di ragukan nasionalisme nya jga bodoamat. toh dia juga gk menghidupkan kita 😂😂😂","klo di luar negeri hidup lebih baik knpa enggakdi ragukan nasionalisme nya jga bodoamat toh dia juga gk menghidupkan kita","kalau di luar negeri hidup lebih baik knpa enggakdi ragukan nasionalisme nya jga bodoamat toh dia juga tidak menghidupkan kita","negeri hidup knpa enggakdi ragu nasionalisme jga bodoamat hidup","negatif","0","0","2025-02-20 07:20:30"
"gass ajalah lah bang wong kita cari makan sendri","gass ajalah lah bang wong kita cari makan sendri","gass ajalah lah bang wong kita cari makan sendri","gass ajalah lah bang wong kita cari makan sendri","gass aja bang cari makan sendri","positif","0","0","2025-02-21 06:47:48"
