"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","processed","sentiment_label","likes","reply_count","created_time_formatted"
"°neutaaa’s comment: betah ya bang di koreaa,semoga nular yaa aamiin🫂🫂","betah ya bang di koreaa,semoga nular yaa aamiin🫂🫂","betah ya bang di koreaasemoga nular yaa aamiin","betah ya bang di koreaasemoga nular yaa aamiin","['betah', 'bang', 'koreaasemoga', 'nular', 'yaa', 'aamiin']","betah bang koreaasemoga nular yaa aamiin","positif","0","0","2025-02-20 22:29:56"
"Bocil_TUO’s comment: masuk👍👏🏼👏🏼","masuk👍👏🏼👏🏼","masuk","masuk","['masuk']","masuk","positif","0","0","2025-02-19 07:06:59"
"Mila Kinan’s comment: pejabat cuma sayang uang pajak kita😭","pejabat cuma sayang uang pajak kita😭","pejabat cuma sayang uang pajak kita","pejabat cuma sayang uang pajak kita","['jabat', 'sayang', 'uang', 'pajak']","jabat sayang uang pajak","negatif","0","0","2025-02-17 11:18:05"
"𝙂𝘼𝙈𝙊𝙉 𝙈𝙄𝙉𝙏’s comment: pergi tujuan saya...
korut rusia japan cina","pergi tujuan saya...
korut rusia japan cina","pergi tujuan saya korut rusia japan cina","pergi tujuan saya korut rusia japan cina","['pergi', 'tuju', 'korut', 'rusia', 'japan', 'cina']","pergi tuju korut rusia japan cina","netral","0","0","2025-02-16 12:10:50"
"Mrs.PusPus’s comment: aminnnnn #kaburajadulu","aminnnnn #kaburajadulu","aminnnnn","amin","['amin']","amin","positif","0","0","2025-02-10 14:50:18"
"Vanessa_07🐱🔰’s comment: oww otww🤭","oww otww🤭","oww otww","oww otww","['oww', 'otww']","oww otww","netral","1","0","2025-02-15 16:13:42"
"Ireng Men’s comment: nanti gw nyusull wowkwowkwkwkwkowk100×","nanti gw nyusull wowkwowkwkwkwkowk100×","nanti gw nyusull wowkwowkwkwkwkowk100","nanti saya nyusull wowkwowkwkwkwkowk100","['nyusull']","nyusull","netral","0","0","2025-02-18 08:36:09"
"Ragill021’s comment: hyu otw Jepang🇯🇵","hyu otw Jepang🇯🇵","hyu otw jepang","hyu otw jepang","['hyu', 'otw', 'jepang']","hyu otw jepang","positif","1","1","2025-02-19 14:44:28"
"anak muda mending keluar negri deh","anak muda mending keluar negri deh","anak muda mending keluar negri deh","anak muda mending keluar negri deh","['anak', 'muda', 'mending', 'negri']","anak muda mending negri","positif","0","0","2025-02-18 13:09:29"
"🌼TiW🌼’s comment: buat yg mau2 aja kata cimehong","buat yg mau2 aja kata cimehong","buat yg mau2 aja kata cimehong","buat yang mau2 aja kata cimehong","['aja', 'cimehong']","aja cimehong","netral","0","0","2025-02-16 07:47:34"
