"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"tren hanya sesaat😏","tren hanya sesaat😏","tren hanya sesaat","tren hanya sesaat","['tren']","[tren]","tren","0","0","2025-02-11 19:38:49","False","True","False","id","positif"
"umr ora sepiro berkelahi dg nasionalisme😂","umr ora sepiro berkelahi dg nasionalisme😂","umr ora sepiro berkelahi dg nasionalisme","umr ora sepiro berkelahi dg nasionalisme","['umr', 'ora', 'sepiro', 'kelah', 'dg', 'nasionalisme']","[umr, ora, sepiro, kelah, dg, nasionalisme]","umr ora sepiro kelah dg nasionalisme","0","0","2025-02-21 10:04:36","False","True","False","id","negatif"
"AbuAthiyah’s comment: kalo luar negeri kerja keras dan orang pintar di hargai dan kalo di Indonesia kamu kerja keras dan kamu pintar tidak hargai karena pemikiran nya tidak menguntungkan, kecuali keluarga kamu kaya 😁","kalo luar negeri kerja keras dan orang pintar di hargai dan kalo di Indonesia kamu kerja keras dan kamu pintar tidak hargai karena pemikiran nya tidak menguntungkan, kecuali keluarga kamu kaya 😁","kalo luar negeri kerja keras dan orang pintar di hargai dan kalo di indonesia kamu kerja keras dan kamu pintar tidak hargai karena pemikiran nya tidak menguntungkan kecuali keluarga kamu kaya","kalau luar negeri kerja keras dan orang pintar di hargai dan kalau di indonesia kamu kerja keras dan kamu pintar tidak hargai karena pemikiran nya tidak menguntungkan kecuali keluarga kamu kaya","['negeri', 'kerja', 'keras', 'orang', 'pintar', 'harga', 'indonesia', 'kerja', 'keras', 'pintar', 'harga', 'pikir', 'untung', 'kecuali', 'keluarga', 'kaya']","[negeri, kerja, keras, orang, pintar, harga, indonesia, kerja, keras, pintar, harga, pikir, untung, kecuali, keluarga, kaya]","negeri kerja keras orang pintar harga indonesia kerja keras pintar harga pikir untung kecuali keluarga kaya","0","0","2025-02-15 00:22:57","False","True","False","id","negatif"
"nová’s comment: ke Singapura aja ngab, bisa bahasa Melayu di sana, gaji nya besar, ga ada syarat syarat tinggi badan lah, harus good looking lah, kaga jir, bagus di sono, cuman saran doang 🗿","ke Singapura aja ngab, bisa bahasa Melayu di sana, gaji nya besar, ga ada syarat syarat tinggi badan lah, harus good looking lah, kaga jir, bagus di sono, cuman saran doang 🗿","ke singapura aja ngab bisa bahasa melayu di sana gaji nya besar ga ada syarat syarat tinggi badan lah harus good looking lah kaga jir bagus di sono cuman saran doang","ke singapura aja ngab bisa bahasa melayu di sana gaji nya besar tidak ada syarat syarat tinggi badan lah harus good looking lah kaga jir bagus di sono cuman saran doang","['singapura', 'aja', 'ngab', 'bahasa', 'melayu', 'gaji', 'syarat', 'syarat', 'badan', 'good', 'looking', 'kaga', 'jir', 'bagus', 'sono', 'cuman', 'saran', 'doang']","[singapura, aja, ngab, bahasa, melayu, gaji, syarat, syarat, badan, good, looking, kaga, jir, bagus, sono, cuman, saran, doang]","singapura aja ngab bahasa melayu gaji syarat syarat badan good looking kaga jir bagus sono cuman saran doang","0","0","2025-02-19 07:40:20","False","True","False","id","negatif"
"sbntr lagi bnyk stop bayar pajak 😁 biar mandiri pemerintah ya","sbntr lagi bnyk stop bayar pajak 😁 biar mandiri pemerintah ya","sbntr lagi bnyk stop bayar pajak biar mandiri pemerintah ya","sbntr lagi bnyk stop bayar pajak biar mandiri pemerintah ya","['sbntr', 'bnyk', 'stop', 'bayar', 'pajak', 'biar', 'mandiri', 'perintah']","[sbntr, bnyk, stop, bayar, pajak, biar, mandiri, perintah]","sbntr bnyk stop bayar pajak biar mandiri perintah","1","0","2025-02-13 13:30:37","False","True","False","id","negatif"
"tinggalin aja pejabat di indo. kita mah keluar negri aja😹😹","tinggalin aja pejabat di indo. kita mah keluar negri aja😹😹","tinggalin aja pejabat di indo kita mah keluar negri aja","tinggalin aja pejabat di indonesia kita mah keluar negri aja","['tinggalin', 'aja', 'jabat', 'indonesia', 'negri', 'aja']","[tinggalin, aja, jabat, indonesia, negri, aja]","tinggalin aja jabat indonesia negri aja","1","0","2025-02-13 04:55:08","False","True","False","id","positif"
"Shaotho’s comment: cemilan enak penipu buat yg awan dan kebelet kabur😂","cemilan enak penipu buat yg awan dan kebelet kabur😂","cemilan enak penipu buat yg awan dan kebelet kabur","cemilan enak penipu buat yang awan dan kebelet kabur","['cemilan', 'enak', 'tipu', 'awan', 'kebelet', 'kabur']","[cemilan, enak, tipu, awan, kebelet, kabur]","cemilan enak tipu awan kebelet kabur","0","0","2025-02-17 11:11:55","False","True","False","id","positif"
">cukimay u.’s comment: doain bg, aku habis lulus smk mau magang di jepang😁","doain bg, aku habis lulus smk mau magang di jepang😁","doain bg aku habis lulus smk mau magang di jepang","doakan bg saya habis lulus smk mau magang di jepang","['doa', 'bg', 'habis', 'lulus', 'smk', 'magang', 'jepang']","[doa, bg, habis, lulus, smk, magang, jepang]","doa bg habis lulus smk magang jepang","0","0","2025-02-13 02:57:13","False","True","False","id","positif"
"Naura’s comment: Jangan kan kita rakyat biasa, almarhum pak habibi saja beliau malh di hargain di jerman atas hasil dia bikin pesawat, di banding di negaranya sendiri🗿","Jangan kan kita rakyat biasa, almarhum pak habibi saja beliau malh di hargain di jerman atas hasil dia bikin pesawat, di banding di negaranya sendiri🗿","jangan kan kita rakyat biasa almarhum pak habibi saja beliau malh di hargain di jerman atas hasil dia bikin pesawat di banding di negaranya sendiri","jangan kan kita rakyat biasa almarhum pak habibi saja beliau malh di hargain di jerman atas hasil dia bikin pesawat di banding di negaranya sendiri","['rakyat', 'almarhum', 'habibi', 'beliau', 'malh', 'hargain', 'jerman', 'hasil', 'bikin', 'pesawat', 'banding', 'negara']","[rakyat, almarhum, habibi, beliau, malh, hargain, jerman, hasil, bikin, pesawat, banding, negara]","rakyat almarhum habibi beliau malh hargain jerman hasil bikin pesawat banding negara","0","0","2025-02-19 02:25:14","False","True","False","id","positif"
"Aulll$’s comment: di hargai di negeri orang daripda di negeri sendiri #kaburajadulu","di hargai di negeri orang daripda di negeri sendiri #kaburajadulu","di hargai di negeri orang daripda di negeri sendiri","di hargai di negeri orang daripda di negeri sendiri","['harga', 'negeri', 'orang', 'daripda', 'negeri']","[harga, negeri, orang, daripda, negeri]","harga negeri orang daripda negeri","0","0","2025-02-14 14:39:05","False","True","False","id","positif"
