"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"Ibiza’s comment: yang lulus sma langsung kerja dijepang be like😁","yang lulus sma langsung kerja dijepang be like😁","yang lulus sma langsung kerja dijepang be like","yang lulus sma langsung kerja dijepang be like","['lulus', 'sma', 'langsung', 'kerja', 'dijepang', 'be']","[lulus, sma, langsung, kerja, dijepang, be]","lulus sma langsung kerja dijepang be","0","0","2025-02-14 16:06:30","False","True","False","id","netral"
"Pingin #kaburajadlu tp udh punya suami sma anak 😃 apa mereka berdua diajak juga ya😃","Pingin #kaburajadlu tp udh punya suami sma anak 😃 apa mereka berdua diajak juga ya😃","pingin tp udh punya suami sma anak apa mereka berdua diajak juga ya","ingin tp sudah punya suami sma anak apa mereka berdua diajak juga ya","['tp', 'suami', 'sma', 'anak', 'dua', 'ajak']","[tp, suami, sma, anak, dua, ajak]","tp suami sma anak dua ajak","0","0","2025-02-22 01:24:30","False","True","False","id","positif"
"mariyam’s comment: Mungkin takut ngga Ada yang bayar pajak kali 😂😂😂😂😂😂😂😂","Mungkin takut ngga Ada yang bayar pajak kali 😂😂😂😂😂😂😂😂","mungkin takut ngga ada yang bayar pajak kali","mungkin takut tidak ada yang bayar pajak kali","['takut', 'bayar', 'pajak', 'kali']","[takut, bayar, pajak, kali]","takut bayar pajak kali","0","0","2025-02-15 14:41:34","False","True","False","id","negatif"
"NengG’s comment: lanjutkan bang bapaknya lagi ngigoo bnyak teori gak ada hasil","lanjutkan bang bapaknya lagi ngigoo bnyak teori gak ada hasil","lanjutkan bang bapaknya lagi ngigoo bnyak teori gak ada hasil","lanjutkan bang bapaknya lagi ngigoo bnyak teori tidak ada hasil","['lanjut', 'bang', 'bapak', 'ngigoo', 'bnyak', 'teori', 'hasil']","[lanjut, bang, bapak, ngigoo, bnyak, teori, hasil]","lanjut bang bapak ngigoo bnyak teori hasil","0","0","2025-02-19 03:42:30","False","True","False","id","positif"
"unul🌷’s comment: kk spill bodycare nya dong","kk spill bodycare nya dong","kk spill bodycare nya dong","kk spill bodycare nya dong","['kk', 'spill', 'bodycare']","[kk, spill, bodycare]","kk spill bodycare","0","0","2025-02-17 05:40:05","False","True","False","id","netral"
"Nika tidak pakai H’s comment: Bahlil ga pernah salah tapi salah banget","Bahlil ga pernah salah tapi salah banget","bahlil ga pernah salah tapi salah banget","bahlil tidak pernah salah tapi salah banget","['bahlil', 'salah', 'salah', 'banget']","[bahlil, salah, salah, banget]","bahlil salah salah banget","1","0","2025-02-12 23:53:24","False","True","False","id","negatif"
"Nell Shopp’s comment: saya juga meragukan pak Bahlil,,,","saya juga meragukan pak Bahlil,,,","saya juga meragukan pak bahlil","saya juga meragukan pak bahlil","['ragu', 'bahlil']","[ragu, bahlil]","ragu bahlil","1","0","2025-02-13 00:12:10","False","True","False","id","negatif"
"Mia🍀’s comment: Jadi pengen kabur juga ah, nanti selesai S1 gasken ajalah 😂","Jadi pengen kabur juga ah, nanti selesai S1 gasken ajalah 😂","jadi pengen kabur juga ah nanti selesai s1 gasken ajalah","jadi ingin kabur juga ah nanti selesai s1 gasken ajalah","['kabur', 'selesai', 'gasken', 'aja']","[kabur, selesai, gasken, aja]","kabur selesai gasken aja","0","0","2025-02-20 05:07:02","False","True","False","id","positif"
"jadi gini cuy","jadi gini cuy","jadi gini cuy","jadi gini cuy","['gin', 'cuy']","[gin, cuy]","gin cuy","0","0","2025-02-18 13:03:00","False","True","False","id","negatif"
"leaku’s comment: mentri ditugaskan oleh presiden dn presiden dipilih rakyat untk mnjdi bapak negara supaya rakyat dn bangsa maju dn sejahtera tp terbalik jaih dikatakan negara maju..maju dn mnumpuk pegnggurannya","mentri ditugaskan oleh presiden dn presiden dipilih rakyat untk mnjdi bapak negara supaya rakyat dn bangsa maju dn sejahtera tp terbalik jaih dikatakan negara maju..maju dn mnumpuk pegnggurannya","mentri ditugaskan oleh presiden dn presiden dipilih rakyat untk mnjdi bapak negara supaya rakyat dn bangsa maju dn sejahtera tp terbalik jaih dikatakan negara majumaju dn mnumpuk pegnggurannya","mentri ditugaskan oleh presiden dn presiden dipilih rakyat untk mnjdi bapak negara supaya rakyat dn bangsa maju dn sejahtera tp terbalik jaih dikatakan negara majumaju dn mnumpuk pegnggurannya","['tri', 'tugas', 'presiden', 'dn', 'presiden', 'pilih', 'rakyat', 'untk', 'mnjdi', 'negara', 'rakyat', 'dn', 'bangsa', 'maju', 'dn', 'sejahtera', 'tp', 'balik', 'jaih', 'negara', 'majumaju', 'dn', 'mnumpuk', 'pegnggurannya']","[tri, tugas, presiden, dn, presiden, pilih, rakyat, untk, mnjdi, negara, rakyat, dn, bangsa, maju, dn, sejahtera, tp, balik, jaih, negara, majumaju, dn, mnumpuk, pegnggurannya]","tri tugas presiden dn presiden pilih rakyat untk mnjdi negara rakyat dn bangsa maju dn sejahtera tp balik jaih negara majumaju dn mnumpuk pegnggurannya","0","0","2025-02-19 07:44:03","False","True","False","id","negatif"
